HQID,MLBAMID,Player,Age,Throws,Tm,LG,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,W,L,G,QS,SV,BS,HD,12$,15$,IP,H,ER,HR,BB,K,ERA,WHIP,BF/G,K9,K%,BB/9,BB%,Cmd,K-BB%,HR9,OOB,xERA,G%,L%,F%,H%,S%,RAR,BPX
8136,694819,"Misiorowski, Jacob",22,R,MIL,NL,F,"2400 AFF",0,493.22,346,720,,1,2,15,,,,,-11,-11,44.0,29,19,4,28,51,3.89,1.30,12.1,10.4,28%,5.7,15%,1.8,12.7%,0.8,.315,3.96,44%,20%,36%,25%,71%,0.7,62.7461
6039,663554,"Mize, Casey",27,R,DET,AL,A+,"2103 FFD",24,455.04,278,595,422,7,7,26,7,,,,-5,-5,131.0,133,60,14,38,97,4.12,1.31,20.8,6.7,17%,2.6,7%,2.5,10.9%,1.0,.316,4.10,49%,20%,31%,30%,70%,-0.0,87.1239
7348,669387,"Mlodzinski, Carmen",26,R,PIT,NL,B,"2210 DDA",7,451.95,729,740,65,3,3,35,,2,2,11,-10,-10,51.0,48,23,4,20,46,4.06,1.33,6.0,8.1,21%,3.5,9%,2.3,12.3%,0.7,.321,4.09,47%,18%,35%,31%,70%,0.0,86.4853
5684,594580,"Moll, Sam",33,L,CIN,NL,D,"3310 CFF",10,,,,60,2,2,52,,2,,13,-8,-8,44.0,35,17,4,20,45,3.48,1.25,3.4,9.2,25%,4.1,11%,2.2,14.0%,0.8,.307,3.73,48%,15%,33%,28%,74%,2.0,92.5513
4978,593423,"Montas, Frankie",31,R,NYM,NL,B,"2201 FCF",7,381.65,268,688,220,6,5,21,8,,,,-8,-8,109.0,100,53,13,44,101,4.38,1.32,21.5,8.3,22%,3.6,9%,2.3,12.6%,1.1,.319,4.17,42%,21%,37%,29%,69%,-1.0,82.2209
8002,672456,"Montero, Keider",24,R,DET,AL,C+,"1100 ADA",0,490.50,255,750,,3,2,9,3,,,,-13,-13,44.0,46,23,7,15,35,4.70,1.39,20.6,7.2,18%,3.1,8%,2.3,10.8%,1.4,.330,4.42,40%,24%,36%,30%,70%,-1.8,72.9624
5513,656756,"Montgomery, Jordan",32,L,ARI,NL,B,"2201 CAB",7,424.18,206,611,25,7,7,23,9,,,,-4,-4,116.0,112,54,14,36,102,4.19,1.28,20.7,7.9,21%,2.8,7%,2.8,13.9%,1.1,.311,3.96,43%,23%,34%,30%,70%,1.9,100.396
8146,682254,"Montgomery, Mason",24,L,TB,AL,F,"2300 AFF",0,501.69,336,739,,1,5,21,,,,10,-25,-25,58.0,73,39,11,22,59,6.05,1.64,12.3,9.2,22%,3.4,8%,2.7,14.3%,1.7,.367,4.19,44%,20%,36%,37%,66%,-0.6,108.1038
6194,670970,"Morejon, Adrian",26,L,SD,NL,A+,"5310 FDD",14,496.53,283,745,194,4,4,53,,2,1,9,-2,-2,58.0,49,22,5,16,62,3.41,1.12,4.3,9.6,27%,2.5,7%,3.9,20.1%,0.8,.284,3.21,50%,17%,33%,30%,71%,6.4,153.0169
6700,669212,"Morgan, Eli",28,R,CHI,NL,A+,"2200 DBA",0,451.51,611,747,73,2,2,27,,,1,5,-9,-9,36.0,33,15,4,11,33,3.75,1.22,5.4,8.2,22%,2.8,7%,3.0,15.1%,1.0,.302,4.25,33%,20%,46%,29%,72%,-0.7,97.2034
6896,663752,"Morris, Cody",28,R,NYY,AL,F,"0200 AFF",0,,,,,5,,20,,,,,-11,-11,29.0,24,14,2,20,27,4.34,1.52,6.3,8.4,21%,6.2,15%,1.4,5.6%,0.6,.350,4.87,44%,20%,36%,28%,71%,-2.8,5.8949
2819,450203,"Morton, Charlie",41,R,BAL,AL,A+,"2203 BAB",27,426.67,252,701,9,7,7,24,10,,,,-4,-4,131.0,120,61,19,51,125,4.19,1.31,22.5,8.6,23%,3.5,9%,2.5,13.7%,1.3,.316,3.94,45%,22%,34%,29%,72%,2.6,94.7747
6411,666205,"Muller, Kyle",27,L,ATH,AL,B,"1100 CCD",0,,,,42,1,1,14,,,,,-13,-13,51.0,53,23,7,17,40,4.06,1.37,15.3,7.1,18%,3.0,7%,2.4,10.8%,1.2,.327,4.39,42%,22%,36%,30%,74%,-1.9,75.3454
6142,662253,"Munoz, Andres",26,R,SEA,AL,B,"5530 FBA",54,88.33,46,282,61,3,3,59,,28,5,8,8,8,58.0,41,18,5,23,75,2.79,1.10,3.9,11.6,32%,3.6,10%,3.3,22.9%,0.8,.281,2.78,53%,17%,29%,28%,78%,9.4,164.3392
7338,682610,"Munoz, Roddery",24,R,STL,NL,D+,"0000 ADB",0,,,,,1,1,6,2,,,,-17,-17,29.0,30,17,6,15,21,5.28,1.55,21.1,6.5,16%,4.7,11%,1.4,4.7%,1.9,.355,5.49,34%,21%,45%,28%,71%,-5.0,4.0364
8174,668716,"Murdock, Noah",26,R,ATH,AL,F,"0200 AFF",0,,,,,1,,32,,,,,-13,-13,44.0,36,18,,29,38,3.68,1.48,5.9,7.8,20%,5.9,15%,1.3,4.8%,,.344,4.95,44%,20%,36%,29%,72%,-4.6,1.9954
7336,669684,"Murphy, Chris",26,L,BOS,AL,F,"2200 FFF",0,,,,171,,1,6,,,,,-15,-15,15.0,15,8,2,6,14,4.80,1.40,10.6,8.4,22%,3.6,9%,2.3,12.6%,1.2,.332,4.12,44%,20%,36%,31%,68%,-0.0,86.6564
6895,668964,"Myers, Tobias",26,R,MIL,NL,A+,"2203 ACD",27,317.71,217,455,,7,6,29,10,,,,-4,-4,145.0,145,67,23,46,128,4.16,1.32,20.7,7.9,21%,2.9,7%,2.8,13.7%,1.4,.318,4.29,38%,22%,41%,30%,73%,-3.5,93.1556
6692,667297,"Nance, Tommy",33,R,TOR,AL,F,"1100 AFF",0,451.14,576,576,,3,3,34,,,3,,-15,-15,44.0,62,20,4,11,34,4.09,1.66,5.8,7.0,17%,2.2,5%,3.1,11.7%,0.8,.370,4.58,44%,20%,36%,39%,76%,-2.6,98.4576
7100,677053,"Nardi, Andrew",26,L,MIA,NL,B,"3500 DCB",0,474.98,506,750,53,4,2,46,,,3,2,-6,-6,44.0,36,18,7,18,56,3.68,1.23,3.9,11.4,31%,3.7,10%,3.1,21.3%,1.4,.303,3.73,36%,14%,51%,29%,76%,2.0,137.6696
7965,680897,"Nastrini, Nick",25,R,CWS,AL,F,"1200 AFF",0,451.39,571,682,,2,5,11,,,,,-20,-20,44.0,46,27,9,26,41,5.52,1.64,17.8,8.4,20%,5.3,13%,1.6,7.7%,1.8,.367,4.81,44%,20%,36%,30%,71%,-3.9,33.4995
8073,680891,"Neely, Jack",24,R,CHI,NL,F,"5500 AFF",0,451.32,738,738,,,,11,,,1,,-13,-13,15.0,14,6,1,5,19,3.60,1.27,5.6,11.4,31%,3.0,8%,3.8,22.8%,0.6,.310,3.16,44%,20%,36%,35%,72%,1.7,166.6995
6513,656793,"Nelson, Nick",29,R,PHI,NL,F,"0000 AFF",0,,,,,1,3,18,,,3,,-24,-24,29.0,35,24,5,16,18,7.45,1.76,7.4,5.6,13%,5.0,12%,1.1,1.5%,1.6,.384,5.67,44%,20%,36%,32%,58%,-5.6,-13.1923
7132,669194,"Nelson, Ryne",27,R,ARI,NL,A+,"2101 BBC",6,378.22,225,549,68,5,5,16,4,,,,-6,-6,87.0,86,40,11,23,68,4.14,1.25,22.1,7.0,19%,2.4,6%,3.0,12.7%,1.1,.308,4.24,41%,21%,38%,29%,70%,-1.5,92.6767
4711,593576,"Neris, Hector",35,R,ATL,NL,A,"2400 ABB",0,465.61,357,750,,3,2,31,,,2,4,-10,-10,29.0,24,13,3,13,32,4.03,1.28,3.8,9.9,26%,4.0,10%,2.5,16.0%,0.9,.311,4.00,38%,19%,44%,29%,70%,0.3,97.9787
7850,693312,"Nicolas, Kyle",26,R,PIT,NL,F,"2310 AFF",8,451.64,468,729,13,2,2,47,,2,,7,-12,-12,51.0,48,22,5,28,52,3.88,1.49,4.7,9.2,23%,4.9,12%,1.9,10.9%,0.9,.346,4.24,46%,20%,34%,31%,76%,-0.9,63.6924
8118,680951,"Nikhazy, Doug",25,L,CLE,AL,F,"2100 AFF",0,455.09,577,749,,2,1,9,3,,,,-8,-8,44.0,33,17,4,19,36,3.48,1.18,19.6,7.4,20%,3.9,10%,1.9,9.7%,0.8,.295,4.26,44%,20%,36%,24%,72%,-0.9,56.3837
4784,605400,"Nola, Aaron",31,R,PHI,NL,B,"4305 AAB",80,91.54,49,140,4,12,10,31,14,,,,14,14,189.0,175,79,27,48,193,3.76,1.18,24.4,9.2,25%,2.3,6%,4.0,19.2%,1.3,.295,3.48,44%,21%,35%,30%,73%,14.4,143.1997
6609,673380,"Nunez, Dedniel",28,R,NYM,NL,A+,"3410 DDF",11,467.53,333,749,49,4,2,32,,2,,11,-7,-7,44.0,39,18,5,18,50,3.68,1.30,5.7,10.2,27%,3.7,9%,2.8,17.7%,1.0,.315,3.70,48%,11%,41%,31%,75%,2.1,126.3131
6693,641927,"Ober, Bailey",29,R,MIN,AL,B,"2303 DBA",30,90.63,61,160,125,11,8,32,11,,,,16,16,174.0,147,71,24,41,175,3.67,1.08,21.2,9.1,25%,2.1,6%,4.3,19.8%,1.2,.277,3.92,32%,18%,50%,28%,71%,3.9,131.8773
8171,829272,"Ogasawara, Shinnosuke",27,L,WSH,NL,F,"1001 AFF",3,492.92,384,749,,3,6,13,4,,,,-11,-11,87.0,90,41,11,24,62,4.24,1.31,27.6,6.4,17%,2.5,6%,2.6,10.6%,1.1,.317,4.38,44%,20%,36%,30%,70%,-3.0,80.294
8135,660271,"Ohtani-P, Shohei",30,R,LA,NL,B+,"4501 AAA",14,1.39,1,4,17,9,5,22,7,,,,11,11,116.0,89,42,13,43,140,3.26,1.14,20.9,10.9,30%,3.3,9%,3.3,21.1%,1.0,.287,3.31,43%,19%,38%,28%,75%,11.3,144.0092
6893,670124,"Oller, Adam",30,R,MIA,NL,F,"0101 AFF",2,,,,,6,1,25,,,1,,-30,-30,73.0,82,60,14,40,59,7.40,1.67,13.1,7.3,18%,4.9,12%,1.5,5.8%,1.7,.372,5.08,44%,20%,36%,31%,57%,-8.9,22.5193
7242,681857,"Olson, Reese",25,R,DET,AL,A+,"3303 DCB",36,266.49,183,364,56,9,6,25,8,,,,4,4,131.0,114,57,14,41,127,3.92,1.18,21.0,8.7,24%,2.8,7%,3.1,16.4%,1.0,.296,3.61,48%,18%,34%,29%,69%,7.9,122.0031
6855,672391,"Ort, Kaleb",33,R,HOU,AL,F,"2300 FFF",0,451.30,714,714,88,2,2,39,,,,14,-8,-8,44.0,40,18,5,13,43,3.68,1.20,4.5,8.8,24%,2.7,7%,3.3,16.9%,1.0,.299,4.10,30%,18%,46%,30%,72%,0.0,107.8416
7137,682847,"Ortiz, Luis L.",26,R,CLE,AL,B+,"2203 ABC",27,393.04,238,504,,9,8,30,7,,2,,5,5,160.0,143,66,22,56,139,3.71,1.24,21.7,7.8,21%,3.1,8%,2.5,12.8%,1.2,.306,4.23,41%,19%,40%,27%,75%,-2.6,85.1855
8039,679358,"Orze, Eric",27,R,TB,AL,F,"3300 AFF",0,,,,,1,,10,,,,,-11,-11,15.0,11,5,2,7,16,3.00,1.20,6.0,9.6,26%,4.2,11%,2.3,14.9%,1.2,.298,3.73,44%,20%,36%,25%,81%,0.7,92.8135
7907,671305,"Otanez, Michel",27,R,ATH,AL,F,"2410 AFF",9,481.18,437,750,,11,2,45,,2,3,21,-4,-4,58.0,47,30,2,34,67,4.66,1.40,5.4,10.4,27%,5.3,13%,2.0,13.5%,0.3,.331,3.98,44%,20%,36%,31%,64%,0.9,75.984
6445,670912,"Oviedo, Johan",27,R,PIT,NL,C+,"1200 FAB",0,473.96,406,748,171,2,1,8,2,,,,-14,-14,36.0,35,18,4,16,31,4.50,1.42,19.1,7.8,20%,4.0,10%,1.9,9.8%,1.0,.334,4.34,47%,18%,35%,30%,70%,-1.1,64.4222
6057,663978,"Paddack, Chris",29,R,MIN,AL,B,"2101 FDB",6,500.21,326,734,408,6,4,19,5,,,,-9,-9,102.0,107,53,15,24,83,4.68,1.28,22.0,7.3,19%,2.1,5%,3.5,14.1%,1.3,.313,4.31,37%,21%,42%,31%,67%,-2.7,102.0721
7114,656820,"Padilla, Nicholas",28,R,PHI,NL,F,"2300 AFF",0,,,,,,1,12,,,,,-12,-12,15.0,11,5,3,8,15,3.00,1.27,5.1,9.0,24%,4.8,13%,1.9,11.4%,1.8,.310,4.05,44%,20%,36%,22%,87%,0.1,62.0277
5546,641941,"Pagan, Emilio",33,R,CIN,NL,F,"2310 FFF",8,472.62,389,750,85,1,2,49,,2,,21,-11,-11,51.0,52,23,8,16,55,4.06,1.33,4.3,9.7,25%,2.8,7%,3.4,18.4%,1.4,.321,4.18,30%,20%,50%,33%,75%,-0.5,121.5926
7267,691725,"Painter, Andrew",21,R,PHI,NL,F,"4400 FFF",0,370.51,217,552,,2,1,10,3,,,,-8,-8,51.0,41,21,5,22,60,3.71,1.24,20.7,10.6,29%,3.9,10%,2.7,18.4%,0.9,.305,3.48,44%,20%,36%,30%,72%,3.9,122.9836
7367,694037,"Palencia, Daniel",25,R,CHI,NL,F,"4500 AFF",0,,,,,1,,12,,,,,-14,-14,15.0,13,9,1,8,21,5.40,1.40,5.3,12.6,33%,4.8,12%,2.6,20.5%,0.6,.332,3.30,44%,20%,36%,36%,60%,1.5,135.9137
6957,669467,"Pallante, Andre",26,R,STL,NL,A,"2001 ABA",5,470.35,268,697,,7,6,21,7,,2,,-6,-6,116.0,112,48,8,50,82,3.72,1.40,23.3,6.4,16%,3.9,10%,1.6,6.5%,0.6,.331,4.11,60%,18%,23%,29%,74%,-0.2,54.4111
7982,680730,"Parker, Mitchell",25,L,WSH,NL,A+,"2203 ACA",27,466.99,302,600,,6,6,26,9,,,,-6,-6,138.0,133,66,16,45,121,4.30,1.29,21.8,7.9,21%,2.9,7%,2.7,13.4%,1.0,.314,4.30,37%,22%,41%,30%,69%,-3.4,88.8342
6239,606303,"Payamps, Joel",30,R,MIL,NL,A,"4310 BBA",12,482.08,277,732,36,3,3,57,,6,2,14,-2,-2,58.0,51,21,7,17,61,3.26,1.17,4.1,9.5,26%,2.6,7%,3.6,19.0%,1.1,.294,3.53,45%,17%,38%,30%,77%,4.1,139.3115
6356,663878,"Pearson, Nate",28,R,CHI,NL,B,"3300 FDB",0,499.85,332,746,185,2,2,35,,,1,9,-9,-9,44.0,39,19,6,13,45,3.89,1.18,5.0,9.2,25%,2.7,7%,3.5,18.2%,1.2,.295,3.81,37%,21%,42%,29%,71%,1.6,124.0326
6836,665625,"Peguero, Elvis",27,R,MIL,NL,C,"3200 ADB",0,,,,13,3,3,39,,,3,5,-8,-8,44.0,38,16,4,20,40,3.27,1.32,4.7,8.2,21%,4.1,10%,2.0,11.0%,0.8,.319,3.65,58%,19%,23%,28%,77%,2.4,83.0191
7954,666711,"Peguero, Joel",27,R,DET,AL,F,"1100 AFF",0,,,,,1,,12,,,1,,-14,-14,15.0,16,7,1,6,12,4.20,1.47,5.4,7.2,18%,3.6,9%,2.0,9.3%,0.6,.342,4.52,44%,20%,36%,33%,71%,-0.8,62.0277
7963,679156,"Pennington, Walter",26,L,TEX,AL,F,"3300 AFF",0,,,,,2,1,9,,,1,,-10,-10,15.0,12,6,1,5,15,3.60,1.13,6.6,9.0,25%,3.0,8%,3.0,16.9%,0.6,.287,3.60,44%,20%,36%,28%,68%,0.9,117.4422
6768,686752,"Pepiot, Ryan",27,R,TB,AL,A,"2303 FCB",30,175.12,123,277,172,11,8,30,10,,,,10,10,160.0,135,66,23,57,161,3.71,1.20,21.4,9.1,25%,3.2,8%,2.8,16.2%,1.3,.298,4.18,33%,18%,48%,27%,74%,-1.6,99.6662
5879,642547,"Peralta, Freddy",28,R,MIL,NL,B+,"3403 DAA",39,109.33,52,184,90,10,7,29,11,,1,,14,14,160.0,122,63,21,60,184,3.54,1.14,21.8,10.3,29%,3.4,9%,3.1,19.6%,1.2,.287,3.65,38%,19%,44%,27%,73%,8.8,126.6095
8081,678821,"Peralta, Luis",24,L,COL,NL,F,"2510 AFF",10,453.50,574,748,,1,1,39,,3,,7,-12,-12,58.0,45,28,6,34,75,4.34,1.36,6.2,11.6,30%,5.3,14%,2.2,16.9%,0.9,.326,4.01,32%,22%,46%,30%,69%,0.6,87.751
6320,622780,"Perdomo, Angel",30,L,ATL,NL,F,"1400 AFF",0,,,,220,2,2,36,,,,8,-13,-13,44.0,40,18,4,31,49,3.68,1.61,5.4,10.0,25%,6.3,15%,1.6,9.2%,0.8,.364,4.57,44%,20%,36%,32%,79%,-2.5,35.5519
5922,672335,"Perez, Cionel",28,L,BAL,AL,C+,"2100 CCB",0,,,,45,4,4,67,,,1,8,-11,-11,58.0,53,27,5,29,47,4.19,1.41,3.7,7.3,19%,4.5,11%,1.6,7.3%,0.8,.334,4.29,55%,16%,29%,29%,71%,-1.4,48.71
6757,691587,"Perez, Eury",21,R,MIA,NL,A+,"3401 ADB",11,452.72,275,626,10,4,4,17,6,,,,1,1,94.0,75,38,13,29,110,3.64,1.11,21.7,10.5,29%,2.8,7%,3.8,21.9%,1.2,.282,3.86,25%,20%,55%,28%,72%,2.7,133.9525
3632,527048,"Perez, Martin",33,L,CWS,AL,C+,"1003 CAB",15,496.28,444,750,32,5,12,35,12,,,,-27,-27,167.0,194,98,23,61,115,5.28,1.53,20.7,6.2,15%,3.3,8%,1.9,7.4%,1.2,.351,4.80,45%,20%,35%,32%,67%,-14.5,52.1877
8020,656848,"Petersen, Michael",30,R,TOR,AL,F,"4300 AFF",0,,,,,1,1,46,,,,,-7,-7,44.0,37,16,4,11,44,3.27,1.09,3.7,9.0,25%,2.2,6%,4.0,19.2%,0.8,.279,3.45,44%,20%,36%,29%,72%,3.5,140.5316
6004,656849,"Peterson, David",29,L,NYM,NL,A+,"3203 FCA",33,368.28,253,437,94,11,7,28,9,,,,1,1,160.0,159,68,15,61,152,3.83,1.38,24.0,8.6,22%,3.4,9%,2.5,13.6%,0.8,.328,3.74,51%,21%,28%,32%,74%,7.0,102.9501
7277,694297,"Pfaadt, Brandon",26,R,ARI,NL,A+,"3303 ABB",36,186.71,117,272,,11,8,27,9,,,,8,8,160.0,152,70,20,37,160,3.94,1.18,23.7,9.0,24%,2.1,5%,4.3,19.2%,1.1,.295,3.69,39%,21%,40%,31%,70%,8.0,140.0641
7386,683175,"Phillips, Connor",23,R,CIN,NL,F,"0200 AFF",0,467.20,435,750,,1,4,9,3,,,,-35,-35,36.0,52,37,8,28,31,9.25,2.22,20.2,7.8,17%,7.0,15%,1.1,1.7%,2.0,.441,6.13,44%,20%,36%,38%,59%,-9.0,-31.3559
5914,623465,"Phillips, Evan",30,R,LA,NL,A,"4310 CAA",12,444.71,194,749,27,6,3,67,,2,4,14,1,1,65.0,53,25,6,19,70,3.46,1.11,3.8,9.7,27%,2.6,7%,3.7,20.0%,0.8,.282,3.46,42%,19%,39%,29%,71%,5.1,140.714
6635,663969,"Phillips, Tyler",27,R,PHI,NL,C,"0100 ADB",0,451.64,495,720,,2,2,7,2,,,,-16,-16,36.0,39,20,6,16,27,5.00,1.53,22.4,6.8,17%,4.0,10%,1.7,7.0%,1.5,.351,4.91,42%,20%,37%,30%,71%,-3.6,38.1972
5169,601713,"Pivetta, Nick",32,R,SD,NL,A,"4403 CAA",45,204.37,115,293,33,11,9,32,11,,,,15,15,160.0,134,66,27,43,191,3.71,1.11,19.6,10.7,30%,2.4,6%,4.4,23.6%,1.5,.282,3.41,36%,19%,45%,29%,74%,13.5,161.8878
5873,621363,"Poche, Colin",31,L,WSH,NL,B,"1200 FCA",0,453.27,518,747,65,2,1,25,,,2,3,-11,-11,22.0,20,9,4,8,20,3.68,1.27,3.6,8.2,22%,3.3,8%,2.5,13.3%,1.6,.311,4.58,33%,16%,51%,27%,79%,-1.3,79.7581
6687,547001,"Poteet, Cody",30,R,CHI,NL,F,"2200 AFF",0,452.21,521,724,,2,,7,,,,,-12,-12,29.0,31,13,3,9,25,4.03,1.38,17.4,7.8,20%,2.8,7%,2.8,13.1%,0.9,.329,4.13,44%,20%,36%,33%,73%,-0.1,98.4576
7911,700249,"Povich, Cade",24,L,BAL,AL,C+,"1101 ADA",4,462.26,276,664,,4,2,14,4,,,,-11,-11,73.0,68,38,11,26,62,4.68,1.29,21.4,7.6,20%,3.2,8%,2.4,12.0%,1.4,.314,4.61,35%,18%,47%,28%,67%,-4.6,72.8028
4279,519151,"Pressly, Ryan",36,R,CHI,NL,B,"4320 DAB",26,332.76,84,704,54,3,3,66,,23,7,5,2,2,65.0,59,25,6,20,68,3.46,1.22,4.0,9.4,25%,2.8,7%,3.4,18.3%,0.8,.301,3.33,50%,21%,30%,31%,74%,6.2,139.9842
6546,682990,"Priester, Quinn",24,R,BOS,AL,C+,"2000 CCB",0,485.07,419,750,37,3,2,9,3,,,,-12,-12,44.0,45,21,4,16,32,4.30,1.39,20.6,6.5,17%,3.3,8%,2.0,8.6%,0.8,.330,4.20,52%,20%,28%,30%,70%,-0.6,67.9682
5831,640462,"Puk, A.J.",29,L,ARI,NL,A,"5520 DBA",34,290.15,144,564,51,4,4,59,,12,4,23,3,3,65.0,53,24,7,20,81,3.32,1.12,4.3,11.2,31%,2.8,7%,4.0,23.8%,1.0,.285,3.23,39%,20%,41%,31%,74%,6.9,164.3849
5823,615698,"Quantrill, Cal",30,R,MIA,NL,C,"1101 DAC",4,471.91,470,749,105,5,6,19,5,,,,-13,-13,102.0,103,50,14,43,76,4.41,1.43,22.8,6.7,17%,3.8,9%,1.8,7.6%,1.2,.337,4.69,43%,22%,35%,29%,72%,-7.5,44.9815
6123,650671,"Quijada, Jose",29,L,LAA,AL,F,"1400 FFF",0,451.52,641,725,324,1,2,44,,,,9,-13,-13,44.0,38,21,5,23,48,4.30,1.39,4.2,9.8,25%,4.7,12%,2.1,13.5%,1.0,.330,4.41,33%,20%,46%,30%,71%,-1.7,69.3935
4093,500779,"Quintana, Jose",36,L,MIL,NL,B+,"2101 FAB",6,474.77,279,657,107,5,4,21,7,,,,-6,-6,116.0,110,51,12,44,94,3.96,1.33,22.9,7.3,19%,3.4,9%,2.1,10.4%,0.9,.320,4.31,46%,20%,35%,29%,72%,-3.0,72.0046
7053,666142,"Ragans, Cole",27,L,KC,AL,C+,"3403 ABA",39,48.32,25,86,19,12,8,30,12,,,,16,16,174.0,142,67,18,65,196,3.47,1.19,23.3,10.1,28%,3.4,9%,3.0,18.8%,0.9,.297,3.63,40%,20%,40%,29%,74%,10.1,125.1957
6526,656876,"Rasmussen, Drew",29,R,TB,AL,B,"5303 FCA",48,257.46,170,379,295,7,6,24,8,,,,12,12,131.0,109,47,10,32,135,3.23,1.08,21.3,9.3,26%,2.2,6%,4.2,20.2%,0.7,.276,3.19,49%,19%,32%,29%,71%,14.7,153.3134
4614,592662,"Ray, Robbie",33,L,SF,NL,A+,"2403 FCF",33,165.11,91,251,324,11,10,33,14,,,,2,2,160.0,138,76,28,67,184,4.28,1.28,19.9,10.3,28%,3.8,10%,2.8,17.8%,1.6,.312,4.08,31%,20%,49%,29%,72%,0.3,106.6215
5003,607067,"Rea, Colin",34,R,CHI,NL,A+,"1001 ABA",3,503.44,336,743,,7,9,19,6,,,,-5,-5,102.0,106,45,14,28,74,3.97,1.31,22.2,6.5,17%,2.5,6%,2.6,10.9%,1.2,.318,4.58,39%,20%,41%,30%,74%,-6.0,77.3636
7369,669308,"Reynolds, Sean",26,R,SD,NL,F,"1300 AFF",0,451.53,660,717,,1,,16,,,,,-17,-17,22.0,24,14,1,12,22,5.73,1.64,6.1,9.0,22%,4.9,12%,1.8,10.2%,0.4,.367,4.55,44%,20%,36%,36%,62%,-1.2,58.6413
8064,687377,"Ribalta, Orlando",27,R,WSH,NL,F,"2400 AFF",0,451.61,701,747,,2,1,21,,,1,3,-12,-12,22.0,19,9,2,13,24,3.68,1.45,4.5,9.8,25%,5.3,13%,1.9,11.7%,0.8,.340,4.19,44%,20%,36%,30%,76%,-0.2,62.8487
7288,680689,"Richardson, Lyon",25,R,CIN,NL,F,"0100 AFF",0,,,,,,2,7,2,,,,-20,-20,29.0,31,18,3,18,23,5.59,1.69,18.7,7.1,17%,5.6,13%,1.3,3.8%,0.9,.375,5.28,44%,20%,36%,32%,67%,-4.2,-0.4675
7178,685005,"Roa, Christian",25,R,MIA,NL,F,"0100 AFF",0,,,,,2,4,14,,,,,-23,-23,29.0,39,22,5,19,23,6.83,2.00,10.0,7.1,16%,5.9,13%,1.2,2.9%,1.6,.415,5.73,44%,20%,36%,36%,67%,-5.8,-10.0111
8016,691828,"Robberse, Sem",23,R,STL,NL,F,"2100 AFF",0,,,,,2,1,6,2,,,,-14,-14,29.0,29,17,4,9,22,5.28,1.31,20.0,6.8,18%,2.8,7%,2.4,10.9%,1.2,.317,4.27,44%,20%,36%,29%,61%,-0.6,79.3704
2972,502085,"Robertson, David",39,R,TEX,AL,A,"4320 CAB",26,451.21,288,681,10,3,3,61,,10,7,20,2,2,65.0,47,23,7,23,70,3.18,1.08,4.2,9.7,27%,3.2,9%,3.0,18.6%,1.0,.276,3.39,47%,17%,36%,26%,74%,5.7,129.4829
8097,677958,"Rocker, Kumar",25,R,TEX,AL,B,"3201 AFF",9,300.46,204,505,,6,5,19,6,,,,-3,-3,102.0,94,47,11,28,98,4.15,1.20,21.6,8.7,23%,2.5,6%,3.5,17.1%,1.0,.298,3.75,43%,19%,38%,30%,67%,4.4,125.4351
4723,607074,"Rodon, Carlos",32,L,NYY,AL,B+,"3403 FAD",39,138.01,64,204,121,12,9,28,12,,,,11,11,152.0,128,66,23,51,182,3.91,1.18,21.7,10.8,29%,3.0,8%,3.6,21.6%,1.4,.295,3.68,33%,18%,48%,29%,72%,7.9,140.8166
7860,692230,"Rodriguez, Carlos",23,R,MIL,NL,F,"2200 AFF",0,,,,,1,1,3,1,,,,-13,-13,15.0,12,8,2,7,13,4.80,1.27,20.4,7.8,21%,4.2,11%,1.9,9.8%,1.2,.310,4.23,44%,20%,36%,25%,64%,-0.2,55.8706
4572,593958,"Rodriguez, Eduardo",31,L,ARI,NL,B,"2203 FAA",27,399.87,239,497,195,10,9,28,10,,,,-1,-1,145.0,139,67,19,50,133,4.16,1.30,21.4,8.3,22%,3.1,8%,2.7,13.9%,1.2,.316,4.15,40%,22%,39%,30%,71%,-1.0,94.6151
6570,680570,"Rodriguez, Grayson",25,R,BAL,AL,A,"4301 DBC",12,120.30,74,386,62,10,5,21,7,,,,6,6,109.0,95,44,12,35,116,3.63,1.19,20.8,9.6,26%,2.9,8%,3.3,18.5%,1.0,.297,3.55,44%,19%,37%,30%,72%,7.3,132.7325
6377,655889,"Rodriguez, Manuel",28,R,TB,AL,A+,"2210 DDB",7,464.65,589,750,87,4,3,60,,4,1,20,-6,-6,58.0,52,25,7,23,54,3.88,1.29,4.0,8.4,22%,3.6,9%,2.4,13.0%,1.1,.314,4.05,45%,19%,36%,29%,73%,0.4,88.3097
7884,678495,"Rodriguez, Randy",25,R,SF,NL,C+,"1200 CDA",0,451.50,629,718,32,3,3,34,,,1,9,-11,-11,51.0,48,23,6,24,45,4.06,1.41,6.3,7.9,20%,4.2,11%,1.9,9.7%,1.1,.334,4.71,40%,18%,43%,29%,74%,-3.9,52.9516
7936,684320,"Rodriguez, Yariel",28,R,TOR,AL,C+,"1301 DDF",6,475.60,351,716,53,5,4,21,7,,,,-6,-6,102.0,86,44,11,53,103,3.88,1.36,20.3,9.1,24%,4.7,12%,1.9,11.7%,1.0,.326,4.37,38%,22%,40%,28%,74%,-3.4,60.7279
