HQID,MLBAMID,Player,Age,Throws,Tm,LG,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,W,L,G,QS,SV,BS,HD,12$,15$,IP,H,ER,HR,BB,K,ERA,WHIP,BF/G,K9,K%,BB/9,BB%,Cmd,K-BB%,HR9,OOB,xERA,G%,L%,F%,H%,S%,RAR,BPX
7916,687863,"Hodge, Porter",24,R,CHI,NL,B+,"3510 ADB",12,259.91,105,590,,4,4,49,,9,3,18,-1,-1,65.0,49,25,5,33,78,3.46,1.26,5.4,10.8,29%,4.6,12%,2.4,17.0%,0.7,.309,3.66,43%,19%,38%,29%,74%,3.5,104.9112
7105,663773,"Hoeing, Bryan",28,R,SD,NL,A+,"2000 DCB",0,451.33,513,684,65,2,2,25,,,,5,-9,-9,51.0,49,21,5,15,36,3.71,1.25,8.3,6.3,17%,2.6,7%,2.4,10.1%,0.9,.308,4.19,47%,22%,32%,28%,72%,-0.6,77.2496
5361,656546,"Hoffman, Jeff",32,R,TOR,AL,B+,"4530 DCC",48,195.58,60,449,83,2,3,53,,28,1,9,7,7,58.0,43,19,5,21,73,2.95,1.10,4.3,11.3,32%,3.3,9%,3.5,22.8%,0.8,.281,3.37,35%,21%,44%,29%,76%,5.2,146.9966
8138,680684,"Hoglund, Gunnar",25,R,ATH,AL,F,"2100 AFF",0,451.67,584,747,,5,4,12,4,,,,-1,-1,65.0,55,24,7,17,49,3.32,1.11,21.3,6.8,19%,2.4,6%,2.9,12.5%,1.0,.282,4.02,44%,20%,36%,26%,73%,0.6,91.89
6998,670059,"Holderman, Colin",29,R,PIT,NL,B,"2310 FCA",8,472.03,425,750,118,3,3,60,,5,5,14,-9,-9,58.0,52,26,6,27,60,4.03,1.36,4.0,9.3,24%,4.2,11%,2.2,13.6%,0.9,.326,4.14,41%,21%,39%,30%,72%,-0.3,83.7488
7151,668970,"Hollowell, Gavin",27,R,CHI,NL,F,"1300 AFF",0,,,,,1,1,15,,,,,-15,-15,15.0,14,9,1,10,16,5.40,1.60,4.4,9.6,24%,6.0,15%,1.6,9.0%,0.6,.362,4.56,44%,20%,36%,33%,65%,-0.8,37.3991
8067,680880,"Holman, Grant",24,R,ATH,AL,F,"2200 AFF",0,450.78,338,371,,2,2,48,,,2,11,-11,-11,58.0,51,27,6,24,54,4.19,1.29,5.0,8.4,22%,3.7,10%,2.2,12.6%,0.9,.314,4.08,44%,20%,36%,29%,69%,0.1,82.5516
5852,605280,"Holmes, Clay",31,R,NYM,NL,B+,"5303 CAA",48,296.72,127,458,13,8,6,26,9,,9,,7,7,131.0,108,45,7,59,133,3.09,1.27,20.6,9.1,24%,4.0,11%,2.2,13.8%,0.5,.311,3.15,64%,17%,19%,29%,76%,15.3,110.7947
5163,656550,"Holmes, Grant",28,R,ATL,NL,B,"3303 ADF",36,347.96,217,698,,7,7,73,,,3,1,-1,-1,131.0,127,57,16,44,139,3.92,1.31,7.4,9.6,25%,3.0,8%,3.2,17.6%,1.1,.316,3.84,43%,16%,41%,32%,73%,4.2,126.9744
6982,663947,"Holton, Tyler",28,L,DET,AL,C+,"3110 ABA",8,456.21,287,675,,3,2,29,,6,,14,-2,-2,44.0,37,15,4,10,36,3.07,1.07,5.9,7.4,21%,2.0,5%,3.6,15.2%,0.8,.275,3.75,47%,17%,36%,27%,74%,1.9,116.4502
7918,690544,"Horn, Bailey",27,L,STL,NL,F,"1200 AFF",0,,,,,1,1,11,,,1,,-14,-14,15.0,13,8,2,9,14,4.80,1.47,5.8,8.4,21%,5.4,14%,1.6,7.8%,1.2,.342,4.56,44%,20%,36%,28%,70%,-0.8,31.2419
7919,690990,"Horton, Cade",23,R,CHI,NL,F,"2300 AFF",0,505.96,405,749,,1,,4,,,,,-15,-15,15.0,15,9,3,6,15,5.40,1.40,15.8,9.0,23%,3.6,9%,2.5,14.2%,1.8,.332,4.01,44%,20%,36%,30%,66%,0.2,98.9707
6555,656557,"Houck, Tanner",28,R,BOS,AL,B,"4203 FAB",39,226.58,138,300,128,8,7,26,8,,1,,8,8,160.0,141,64,11,48,143,3.60,1.18,24.6,8.0,22%,2.7,7%,3.0,14.8%,0.6,.295,3.51,53%,20%,28%,29%,70%,11.7,117.2369
5085,605288,"Houser, Adrian",32,R,TEX,AL,F,"0000 AFF",0,451.23,655,655,,,2,4,1,,,,-20,-20,22.0,27,17,2,8,11,6.95,1.59,24.3,4.5,11%,3.3,8%,1.4,3.1%,0.8,.361,5.41,44%,20%,36%,32%,54%,-3.6,16.7726
7349,663542,"Hudson, Bryan",27,L,MIL,NL,B+,"2210 BDB",7,458.37,514,749,20,6,3,46,,6,4,14,-2,-2,65.0,57,25,8,27,61,3.46,1.29,5.8,8.4,22%,3.7,10%,2.3,12.7%,1.1,.314,4.26,41%,18%,41%,28%,77%,-1.3,79.9519
