HQID,MLBAMID,Player,Age,Bats,Team,Lg,Pos,LY5,LY10,LY15,LY20,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,12$,15$,PA,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,BB%,ct%,Eye,h%,PX,SPD,RSpd,G%,L%,F%,xBA,BA,RC/G,RAR,BPX
8126,695670,"Ford, Harry",22,R,SEA,AL,C,2,2,2,2,F,"1301 AFF",5,472.25,541,750,,-13,-13,136,119,16,26,6,0,1,10,16,35,8,2,.226,.311,.333,0.644,11%,0.70,0.46,30%,63,86,89,44%,20%,36%,.208,35%,3.1,-1.7,
6858,663743,"Fortes, Nick",28,R,MIA,NL,C,2,2,2,2,D+,"1115 ABB",40,504.77,418,749,11,-5,-5,510,485,52,109,21,,10,46,24,80,4,2,.225,.261,.333,0.595,4%,0.83,0.30,25%,65,73,48,43%,16%,41%,.231,45%,2.8,-11.3,67
7147,679822,"Foscue, Justin",26,R,TEX,AL,1B,3,3,3,3,F,"2010 AFF",0,452.72,650,744,80,-18,-18,34,29,3,6,1,,1,3,4,7,0,0,.223,.303,.356,0.659,12%,0.75,0.57,24%,85,98,32,44%,20%,36%,.229,45%,3.4,-0.9,89
6216,641584,"Fraley, Jake",29,L,CIN,NL,DH,o90,o9,o9,o9,C+,"2333 FBA",33,403.53,225,602,139,7,7,442,400,50,104,20,1,10,49,41,91,21,5,.261,.329,.395,0.724,9%,0.77,0.45,31%,85,80,81,42%,23%,34%,.248,40%,4.5,-1.2,75
6054,664034,"France, Ty",30,R,MIN,AL,1B,30,3,3,3,C+,"1225 AAB",50,482.26,288,748,24,-3,-3,510,476,48,114,24,,10,49,34,100,1,,.240,.290,.360,0.650,6%,0.79,0.34,28%,75,69,70,44%,21%,35%,.242,40%,3.4,-13.1,42
5297,624428,"Frazier, Adam",33,L,PIT,NL,2B,4o9075,4o90,4o90,4o9,D,"1233 AAC",27,456.73,645,748,13,-9,-9,306,285,38,62,12,1,5,29,20,54,5,1,.221,.269,.331,0.600,6%,0.81,0.37,25%,64,81,68,38%,25%,36%,.246,50%,2.8,-9.4,53
3393,518692,"Freeman, Freddie",35,L,LA,NL,1B,3,3,3,3,C,"4255 AAD",80,24.92,12,42,,29,29,646,561,97,169,40,1,24,93,84,102,9,1,.301,.392,.510,0.903,13%,0.82,0.82,33%,123,74,66,38%,25%,37%,.290,55%,7.3,45.2,271
6585,671289,"Freeman, Tyler",25,R,CLE,AL,CF,8o654,8o,8o,8o,D+,"1231 ACC",7,472.92,452,749,12,-8,-8,238,222,28,54,9,0,4,21,15,34,8,3,.245,.291,.356,0.647,6%,0.84,0.44,27%,58,77,68,47%,19%,34%,.248,50%,3.3,-5.9,78
7185,686217,"Frelick, Sal",24,L,MIL,NL,LF,o987,o987,o987,o987,B,"1435 AAB",65,400.81,268,504,,2,2,476,437,59,109,19,3,4,36,38,65,19,4,.251,.309,.340,0.649,8%,0.85,0.58,29%,53,111,113,49%,18%,33%,.248,45%,3.6,-5.4,117
6863,670770,"Friedl, TJ",29,L,CIN,NL,CF,8o,8o,8o,8o,B,"2425 DAD",65,252.30,168,343,113,9,9,476,438,57,109,12,4,15,65,37,82,16,3,.251,.307,.406,0.713,7%,0.81,0.45,28%,81,110,111,37%,19%,44%,.239,45%,4.2,0.7,142
7311,681807,"Fry, David",29,R,CLE,AL,DH,023o7,023o7,023o7,02,D+,"2211 AAD",6,449.88,207,722,25,-14,-14,136,124,13,29,6,0,4,15,11,35,1,,.240,.296,.403,0.699,8%,0.72,0.31,29%,99,76,78,34%,21%,44%,.224,30%,3.8,-3.1,21
4690,608336,"Gallo, Joey",31,L,CWS,AL,DH,3o9,3o,3,3,D,"4301 FCB",8,460.07,536,750,143,-17,-17,102,88,11,14,2,,4,12,13,39,0,,.161,.267,.358,0.626,12%,0.55,0.33,22%,125,82,82,29%,17%,54%,.173,30%,2.6,-5.9,
5263,592325,"Gamel, Ben",32,L,HOU,AL,RF,o97,o97,o9,o9,F,"3001 AFF",4,452.78,574,724,53,-11,-11,238,213,28,50,12,1,5,20,24,84,,,.238,.312,.385,0.697,10%,0.60,0.29,36%,115,94,,44%,20%,36%,.205,15%,3.9,-0.6,
5953,666969,"Garcia, Adolis",32,R,TEX,AL,RF,9o0,9o0,9o0,9o0,B+,"4225 AAC",65,140.30,70,277,11,13,13,578,533,73,125,26,0,26,86,44,165,11,3,.235,.293,.435,0.728,7%,0.69,0.27,29%,132,74,64,39%,18%,43%,.236,30%,4.2,3.9,75
6525,671277,"Garcia, Luis",24,L,WSH,NL,2B,40,4,4,4,B,"2255 AAB",70,120.02,73,209,,15,15,578,546,67,150,27,2,15,69,31,95,15,4,.276,.314,.421,0.735,5%,0.83,0.33,31%,83,79,71,51%,20%,29%,.272,40%,4.6,10.5,117
7072,672580,"Garcia, Maikel",25,R,KC,AL,3B,54,54,54,54,C+,"1435 AAB",65,207.87,104,284,,5,5,476,442,59,111,21,2,6,43,33,92,24,4,.252,.303,.354,0.658,6%,0.79,0.36,31%,65,95,103,49%,22%,29%,.252,40%,3.8,-5.6,46
5458,641598,"Garver, Mitch",34,R,SEA,AL,DH,02,02,02,02,D+,"4003 FAF",21,448.47,238,617,165,-7,-7,374,329,38,68,13,,16,49,44,107,,,.208,.300,.396,0.696,11%,0.67,0.41,25%,126,64,,32%,18%,49%,.216,40%,3.8,-8.5,53
8070,681508,"Gasper, Mickey",29,B,MIN,AL,C,4,2,2,2,F,"1131 AFF",6,451.33,743,743,,-16,-16,102,91,11,21,5,,2,9,10,16,0,0,.236,.307,.367,0.673,9%,0.82,0.62,26%,77,81,54,44%,20%,36%,.248,55%,3.6,,132
7375,680869,"Gelof, Zack",25,R,ATH,AL,2B,4,4,4,4,C+,"4415 AAC",70,219.41,139,306,21,7,7,578,535,66,120,26,2,22,53,42,193,24,5,.224,.281,.405,0.686,7%,0.64,0.22,31%,132,102,110,42%,22%,36%,.230,25%,3.8,-2.0,28
7913,694355,"Gentry, Tyler",26,R,KC,AL,OF,o,o,o,o,F,"1200 AFF",0,,,,,-18,-18,68,62,6,12,2,0,1,5,5,24,0,0,.202,.254,.320,0.574,7%,0.62,0.21,30%,67,90,75,44%,20%,36%,.181,20%,2.2,-3.6,
7854,687551,"Gilbert, Drew",24,L,NYM,NL,CF,8,8,8,8,F,"2100 AFF",0,457.63,520,749,,-19,-19,34,31,2,5,1,,1,3,2,8,0,0,.175,.212,.304,0.516,6%,0.71,0.25,18%,81,89,59,44%,20%,36%,.212,45%,1.9,-2.3,
6002,665926,"Gimenez, Andres",26,L,TOR,AL,2B,4,4,4,4,B,"1435 AAC",65,170.04,110,267,,10,10,544,517,63,131,22,2,10,57,26,100,26,4,.254,.289,.368,0.657,4%,0.81,0.26,30%,68,93,103,48%,19%,33%,.247,40%,3.7,-3.1,57
3872,502671,"Goldschmidt, Paul",37,R,NYY,AL,1B,3,3,3,3,B,"4235 AAF",70,170.11,50,301,,8,8,544,488,65,120,29,0,22,62,55,136,7,,.247,.322,.447,0.770,10%,0.72,0.40,30%,130,75,79,41%,21%,37%,.253,40%,4.9,7.5,135
7357,693304,"Gonzales, Nick",25,R,PIT,NL,2B,46,4,4,4,C+,"2123 BAB",24,405.81,257,518,30,-2,-2,408,380,48,96,23,3,7,41,27,103,3,4,.254,.302,.397,0.699,6%,0.73,0.26,33%,94,108,52,46%,20%,34%,.238,30%,3.8,-1.0,50
6688,663853,"Gonzalez, Romy",28,R,BOS,AL,2B,4635o9,4635,463,46,D,"2201 FDC",5,499.76,422,748,164,-11,-11,170,161,18,38,6,0,4,19,8,55,6,3,.236,.272,.362,0.634,4%,0.66,0.15,33%,83,82,76,53%,18%,29%,.212,20%,3.1,-4.2,
7819,696100,"Goodman, Hunter",25,R,COL,NL,C,o9207,o920,o92,o92,D+,"4113 ACC",27,325.74,190,639,,-6,-6,408,385,40,77,21,1,15,61,22,117,2,1,.201,.243,.385,0.628,5%,0.70,0.19,25%,122,70,50,41%,16%,43%,.228,35%,2.9,-8.2,35
6885,669357,"Gorman, Nolan",24,L,STL,NL,2B,4,4,4,4,C,"4113 AAD",27,379.18,219,542,29,-1,-1,442,405,51,87,17,,21,57,36,149,4,1,.215,.279,.419,0.698,8%,0.63,0.24,28%,143,67,57,31%,21%,48%,.221,25%,3.7,-2.1,21
6881,682985,"Greene, Riley",24,L,DET,AL,LF,o708,o708,o708,o708,B,"4335 DAC",75,105.06,62,150,94,14,14,578,522,77,141,26,5,20,67,55,160,5,1,.271,.340,.458,0.798,9%,0.69,0.34,35%,124,106,83,44%,22%,33%,.246,25%,5.4,20.6,103
4536,545341,"Grichuk, Randal",33,R,ARI,NL,OF,o907,o907,o90,o90,C+,"4341 BAC",12,497.38,386,737,40,-4,-4,238,222,34,61,14,1,10,34,15,45,0,,.276,.321,.492,0.813,6%,0.79,0.33,31%,125,93,93,40%,18%,42%,.266,35%,5.4,8.8,214
6214,663757,"Grisham, Trent",28,L,NYY,AL,OF,8o0,8o,8o,8o,D,"3101 ABA",5,456.24,562,749,,-11,-11,204,180,23,37,8,,7,26,23,57,2,0,.210,.296,.387,0.683,11%,0.68,0.40,26%,112,71,56,38%,16%,46%,.214,40%,3.5,-2.8,32
7096,687093,"Grissom, Vaughn",24,R,BOS,AL,2B,4,4,4,4,C,"1231 DCD",7,474.23,304,696,105,-11,-11,170,156,17,40,6,0,3,15,13,31,4,0,.260,.314,.376,0.689,7%,0.80,0.42,30%,61,79,73,47%,22%,31%,.245,40%,3.9,0.2,32
5896,665489,"Guerrero Jr., Vladimir",25,R,TOR,AL,1B,305,305,30,30,C,"4155 AAD",75,13.78,5,20,,26,26,646,573,88,167,36,0,28,97,72,92,2,1,.292,.370,.507,0.877,11%,0.84,0.78,31%,120,68,42,48%,18%,34%,.285,50%,6.7,36.6,271
5761,641645,"Guillorme, Luis",30,L,HOU,AL,2B,45,45,4,4,F,"0321 FFF",6,,,,88,-17,-17,102,90,8,22,4,0,0,6,11,17,0,,.246,.327,.313,0.640,10%,0.80,0.65,30%,37,82,82,52%,22%,36%,.236,50%,3.2,-1.9,
5863,666971,"Gurriel Jr., Lourdes",31,R,ARI,NL,LF,7o,7o,7o,7o,B,"2245 BAA",65,216.16,138,291,41,13,13,578,542,67,149,29,2,18,71,35,108,5,1,.276,.319,.441,0.760,6%,0.80,0.32,31%,98,85,75,40%,22%,38%,.262,40%,4.9,13.4,135
5984,606992,"Haase, Eric",32,R,MIL,NL,C,2,2,2,2,F,"4101 AFF",6,483.41,439,749,,-16,-16,102,93,11,19,3,,3,12,8,47,0,0,.212,.267,.367,0.635,7%,0.49,0.17,37%,122,87,43,44%,20%,36%,.168,10%,2.9,-2.1,
7056,669742,"Hall, Darick",29,L,PIT,NL,1B,3,3,3,3,F,"1001 AFF",2,452.07,534,695,74,-18,-18,170,158,11,27,4,,3,16,11,53,0,0,.174,.225,.273,0.498,6%,0.66,0.21,24%,60,70,35,44%,20%,36%,.188,35%,1.8,-13.5,
7355,666152,"Hamilton, David",27,L,BOS,AL,2B,64,64,64,64,C,"1501 AAC",7,392.08,115,571,17,-10,-10,170,156,20,34,7,0,3,13,13,46,15,3,.224,.278,.357,0.635,7%,0.70,0.28,29%,76,93,121,38%,20%,42%,.208,30%,3.1,-4.0,
5935,641658,"Hampson, Garrett",30,R,ARI,NL,OF,o874369,o874,o874,o874,F,"1301 AFF",5,451.90,544,718,22,-14,-14,204,191,14,44,11,0,,14,12,55,6,1,.231,.276,.300,0.576,5%,0.71,0.22,32%,55,89,84,41%,21%,38%,.203,25%,2.7,-7.6,
5356,571745,"Haniger, Mitch",34,R,SEA,AL,DH,9o0,9o0,9o0,9o0,D+,"2003 FBB",15,507.43,428,750,221,-8,-8,340,309,39,66,10,,11,38,30,99,,,.214,.283,.360,0.644,8%,0.68,0.30,28%,95,72,,40%,19%,41%,.210,30%,3.2,-13.1,
5506,664023,"Happ, Ian",30,B,CHI,NL,LF,7o0,7o,7o,7o,B,"4235 AAA",70,124.51,71,175,,15,15,646,566,83,140,34,2,23,81,79,160,11,2,.249,.340,.443,0.782,12%,0.72,0.49,31%,128,84,74,41%,20%,39%,.250,40%,5.1,17.4,146
3941,547180,"Harper, Bryce",32,L,PHI,NL,1B,3,3,3,3,B+,"4255 DAA",80,20.96,12,33,109,26,26,646,551,92,157,39,1,29,86,94,138,9,4,.287,.389,.524,0.913,14%,0.75,0.68,33%,149,78,60,40%,23%,37%,.281,45%,7.1,42.8,264
6765,671739,"Harris II, Michael",24,L,ATL,NL,CF,8o,8o,8o,8o,B,"3355 CAB",80,38.72,20,69,83,21,21,578,548,79,156,26,3,22,67,29,115,16,5,.285,.321,.469,0.790,5%,0.79,0.25,33%,106,97,87,49%,21%,30%,.275,35%,5.3,17.1,150
7990,695391,"Harris, Brett",26,R,ATH,AL,3B,5,5,5,5,F,"0101 AFF",2,,,,,-17,-17,136,125,12,25,3,0,1,11,10,36,1,1,.204,.259,.281,0.541,7%,0.71,0.28,27%,36,91,45,44%,20%,36%,.192,30%,2.0,-8.6,
7011,687957,"Harris, Dustin",25,L,TEX,AL,OF,o,o,o,o,F,"0200 AFF",0,455.12,561,748,,-18,-18,34,31,3,6,1,0,0,2,2,9,1,0,.219,.242,.304,0.547,6%,0.70,0.22,27%,31,92,74,44%,20%,36%,.188,25%,1.9,-2.1,
7880,690987,"Hassell III, Robert",23,L,WSH,NL,CF,8,8,8,8,F,"0300 AFF",0,461.26,470,749,,-17,-17,68,62,6,13,1,0,0,4,5,16,2,0,.212,.269,.283,0.552,7%,0.74,0.31,28%,15,93,82,44%,20%,36%,.186,25%,2.1,-4.0,
6354,663647,"Hayes, Ke'Bryan",28,R,PIT,NL,3B,5,5,5,5,C+,"1335 DAD",60,376.63,190,459,88,2,2,510,479,54,117,17,2,11,40,30,102,13,4,.246,.289,.362,0.651,5%,0.79,0.29,29%,69,108,96,49%,20%,31%,.246,40%,3.5,-9.9,57
5715,669720,"Hays, Austin",29,R,CIN,NL,LF,o7,o7,o7,o7,B,"3235 CAC",65,451.02,288,666,54,2,2,476,452,56,118,31,1,11,44,23,110,4,3,.262,.297,.411,0.708,4%,0.76,0.21,32%,102,93,60,43%,19%,38%,.245,35%,4.1,0.8,85
4550,595978,"Hedges, Austin",32,R,CLE,AL,C,2,2,2,2,F,"0301 AFF",4,451.59,564,736,22,-17,-17,170,161,15,30,2,,2,17,8,63,1,,.190,.225,.250,0.475,4%,0.61,0.13,29%,38,87,89,37%,18%,44%,.151,15%,1.7,-9.7,
6385,641680,"Heim, Jonah",29,B,TEX,AL,C,20,20,2,2,B,"2023 AAC",21,302.89,166,445,17,-2,-2,442,414,43,98,17,0,13,55,27,83,0,0,.237,.283,.381,0.665,6%,0.80,0.33,27%,82,62,31,40%,19%,41%,.236,35%,3.5,-0.7,64
5672,623168,"Heineman, Tyler",33,B,TOR,AL,C,2,2,2,2,F,"0301 AFF",4,452.15,586,746,53,-17,-17,170,154,14,25,2,0,3,14,15,40,4,0,.167,.237,.272,0.508,8%,0.74,0.38,20%,43,89,85,44%,20%,36%,.206,45%,1.8,-9.1,
8090,680737,"Helman, Michael",28,R,STL,NL,2B,o,4,4,4,F,"1300 AFF",0,,,,,-17,-17,68,63,6,12,3,,1,6,4,22,1,0,.201,.239,.336,0.575,5%,0.65,0.18,28%,79,86,83,44%,20%,36%,.202,30%,2.2,-3.4,
6769,683002,"Henderson, Gunnar",23,L,BAL,AL,SS,6,6,6,6,D+,"4455 AAB",90,6.33,2,21,,28,28,646,577,105,158,29,6,30,85,68,152,16,3,.274,.350,.505,0.855,10%,0.74,0.45,32%,140,110,102,48%,19%,32%,.271,40%,6.2,33.2,221
7106,682073,"Hensley, David",28,R,DET,AL,2B,o9,o9,4,4,F,"1300 AFF",0,,,,,-17,-17,68,60,8,11,3,0,0,4,7,21,2,0,.189,.269,.297,0.566,10%,0.64,0.33,28%,52,94,95,44%,20%,36%,.182,25%,2.1,-3.5,
7945,687231,"Hernaiz, Darell",23,R,ATH,AL,SS,56,56,56,5,D,"0101 CCD",2,462.47,452,748,87,-14,-14,170,159,15,38,5,0,1,14,10,30,2,1,.241,.284,.315,0.599,5%,0.81,0.33,29%,36,82,57,49%,13%,38%,.198,30%,2.7,-7.1,
4675,571771,"Hernandez, Kike",33,R,LA,NL,3B,5o37846,5o378,5o3,5o,D+,"2121 CAA",6,508.09,317,750,72,-10,-10,238,221,28,51,11,,6,27,17,46,0,0,.235,.284,.369,0.653,6%,0.79,0.35,27%,84,81,40,37%,19%,44%,.234,35%,3.4,-5.0,82
5353,606192,"Hernandez, Teoscar",32,R,LA,NL,LF,o79,o79,o79,o79,B,"4335 BAC",75,60.96,30,120,24,25,25,646,597,83,163,32,2,31,97,48,191,11,3,.273,.327,.494,0.821,7%,0.68,0.25,35%,148,94,83,45%,19%,36%,.252,25%,5.6,27.0,125
6448,671056,"Herrera, Ivan",24,R,STL,NL,C,20,20,2,2,D+,"2343 ACC",36,233.39,110,539,24,3,3,442,392,57,99,18,1,12,47,49,94,7,1,.254,.336,.404,0.739,11%,0.76,0.52,30%,91,93,84,44%,25%,31%,.259,45%,4.6,11.7,103
6951,645444,"Herrera, Jose",28,B,ARI,NL,C,2,2,2,2,F,"0000 AFF",0,451.33,747,747,6,-19,-19,68,62,6,11,1,0,0,5,5,14,,0,.191,.239,.260,0.499,7%,0.77,0.36,23%,14,87,,44%,20%,36%,.191,40%,1.4,-4.3,
3311,518792,"Heyward, Jason",35,L,SD,NL,RF,o97,o9,o9,o9,F,"3343 FFF",39,473.23,408,750,179,-2,-2,374,341,47,73,17,2,14,53,32,80,7,,.215,.281,.417,0.698,8%,0.76,0.40,24%,113,78,85,48%,18%,33%,.260,55%,3.7,-2.2,135
6689,676551,"Hicklen, Brewer",29,R,MIL,NL,OF,o,o,o,o,F,"2400 AFF",0,,,,,-16,-16,68,61,7,11,1,0,2,7,6,26,4,0,.192,.254,.352,0.606,8%,0.57,0.23,27%,87,92,107,44%,20%,36%,.181,20%,2.6,-2.8,
8189,689414,"Hicks, Liam",25,L,MIA,NL,C,2,2,2,2,F,"0200 AFF",0,454.12,560,749,,-18,-18,34,30,3,6,1,,0,2,3,4,0,0,.221,.273,.291,0.563,9%,0.83,0.75,23%,26,92,61,44%,20%,36%,.215,50%,2.0,-1.5,10
5532,543309,"Higashioka, Kyle",34,R,TEX,AL,C,2,2,2,2,D+,"4223 ACA",33,389.37,233,689,3,-7,-7,272,256,28,55,11,,14,42,15,74,1,,.217,.258,.429,0.687,5%,0.71,0.20,24%,133,63,65,32%,20%,48%,.241,40%,3.6,-0.2,82
5166,656537,"Hill, Derek",29,R,MIA,NL,OF,o879,o87,o87,o8,D,"2513 BCC",33,483.71,427,747,28,-3,-3,374,357,44,85,12,4,7,38,16,117,10,4,.239,.271,.363,0.634,4%,0.67,0.14,33%,80,150,132,44%,25%,31%,.222,25%,3.2,-9.5,
6247,656541,"Hilliard, Sam",31,L,COL,NL,OF,o789,o789,o78,o7,D,"4301 CCD",8,498.16,374,742,76,-9,-9,238,217,31,46,8,1,10,28,20,82,5,1,.213,.279,.412,0.691,8%,0.62,0.24,29%,134,97,90,42%,18%,40%,.216,25%,3.6,-2.9,10
7923,677956,"Hinds, Rece",24,R,CIN,NL,SS,o9,o9,o9,o,D+,"4300 ABB",0,474.86,466,750,,-16,-16,68,63,6,13,3,0,2,8,4,28,2,0,.210,.254,.390,0.644,5%,0.55,0.14,33%,126,86,87,34%,16%,50%,.177,15%,3.0,-2.4,
6269,663538,"Hoerner, Nico",27,R,CHI,NL,2B,46,4,4,4,B+,"1455 CAA",75,190.60,89,291,25,12,12,510,474,69,131,25,1,5,46,35,60,25,5,.277,.326,.372,0.699,6%,0.87,0.58,31%,57,99,103,46%,23%,32%,.271,50%,4.3,5.7,142
7814,702616,"Holliday, Jackson",21,L,BAL,AL,2B,4,4,4,4,B,"3325 ABD",65,217.50,89,337,,5,5,476,421,74,103,23,3,12,45,54,124,10,2,.245,.331,.406,0.737,11%,0.70,0.44,32%,108,98,90,55%,11%,34%,.233,35%,4.5,7.5,78
7075,687462,"Horwitz, Spencer",27,L,PIT,NL,1B,340,340,340,34,B,"3043 AAB",30,341.01,209,510,,-2,-2,306,272,36,76,18,0,9,34,33,61,1,1,.282,.357,.461,0.819,10%,0.78,0.54,33%,109,73,38,42%,23%,35%,.265,40%,5.6,9.3,153
5391,656555,"Hoskins, Rhys",31,R,MIL,NL,1B,30,30,30,30,B,"4125 FAC",60,275.71,122,359,205,8,8,544,483,71,108,22,,28,82,60,150,2,0,.225,.309,.446,0.755,11%,0.69,0.40,26%,145,69,52,33%,19%,47%,.238,40%,4.5,2.3,128
8155,691781,"House, Brady",21,R,WSH,NL,3B,5,5,5,5,F,"2100 AFF",0,,,,,-18,-18,34,32,3,7,1,0,1,3,1,9,0,0,.224,.242,.361,0.604,3%,0.70,0.11,27%,81,93,58,44%,20%,36%,.213,30%,2.7,-1.4,
6549,669087,"Huff, Sam",27,R,SF,NL,C,2,2,2,2,F,"2000 AFF",0,461.30,598,748,,-18,-18,68,64,4,12,3,0,1,6,3,25,,,.200,.224,.310,0.534,4%,0.60,0.12,29%,83,91,,44%,20%,36%,.181,20%,2.0,-3.3,
7922,674441,"Hurtubise, Jacob",27,L,CIN,NL,OF,o7,o7,o7,o,F,"0300 AFF",0,,,,,-18,-18,34,30,3,6,0,0,0,1,3,8,1,0,.218,.273,.260,0.533,9%,0.72,0.38,27%,,95,99,44%,20%,36%,.172,20%,1.9,-2.0,
5400,628451,"Ibanez, Andy",31,R,DET,AL,2B,4537o,453,453,4,D,"1101 BCD",3,454.78,644,748,23,-13,-13,170,158,18,36,7,0,3,19,11,38,1,1,.233,.278,.354,0.632,6%,0.76,0.29,28%,69,86,48,38%,18%,44%,.213,35%,3.0,-4.6,
3405,578428,"Iglesias, Jose",35,R,SD,NL,2B,456,45,45,45,C+,"1241 BBD",8,491.73,394,750,23,-12,-12,136,130,15,36,8,0,1,13,5,23,1,0,.279,.304,.376,0.680,3%,0.82,0.22,33%,62,94,66,48%,24%,27%,.259,35%,3.9,,53
6637,663697,"India, Jonathan",28,R,KC,AL,2B,40,40,40,4,B,"2225 CAA",55,244.29,122,325,95,6,6,544,483,73,119,23,0,12,53,60,107,10,2,.247,.330,.377,0.706,11%,0.78,0.56,29%,80,72,63,41%,22%,37%,.244,45%,4.2,3.7,75
6571,664728,"Isbel, Kyle",28,L,KC,AL,CF,8o,8o,8o,8o,D+,"1515 BBB",60,484.76,343,690,59,1,1,476,445,69,100,20,6,7,48,30,106,13,2,.227,.274,.356,0.630,6%,0.76,0.28,28%,77,120,121,45%,17%,38%,.230,40%,3.2,-13.6,60
5472,656577,"Jackson, Alex",29,R,NYY,AL,C,2,2,2,2,F,"4011 AFF",6,453.88,582,739,121,-17,-17,170,159,15,27,6,1,7,18,10,54,,,.172,.219,.371,0.590,5%,0.66,0.19,20%,125,97,,44%,20%,36%,.229,40%,2.4,-6.3,21
5754,643376,"Jansen, Danny",29,R,TB,AL,C,20,2,2,2,D+,"3023 FBC",24,325.69,182,503,139,-3,-3,442,392,50,85,16,,19,50,49,92,,,.218,.304,.411,0.715,11%,0.76,0.53,23%,112,75,,33%,17%,51%,.236,50%,4.0,4.9,150
6531,680777,"Jeffers, Ryan",27,R,MIN,AL,C,20,20,20,20,B,"4225 BAF",65,229.74,132,332,74,5,5,476,437,59,105,20,1,20,62,38,119,3,1,.242,.301,.438,0.739,8%,0.73,0.32,29%,120,81,64,39%,18%,43%,.240,30%,4.3,9.6,103
5806,650391,"Jimenez, Eloy",28,R,TB,AL,DH,0,0,0,0,C,"2211 FAC",6,505.30,327,747,153,-11,-11,204,189,18,47,8,,7,21,14,44,0,,.249,.300,.408,0.709,6%,0.77,0.32,29%,95,79,79,54%,16%,30%,.230,35%,4.1,-2.8,82
8028,677870,"Jimenez, Leo",23,R,TOR,AL,SS,64,64,64,6,D+,"1211 ACA",5,452.81,568,749,,-14,-14,170,157,19,35,7,0,3,15,12,40,1,0,.229,.278,.346,0.624,7%,0.74,0.30,28%,71,86,67,41%,21%,38%,.223,30%,3.0,-5.8,
6046,656582,"Joe, Connor",32,R,SD,NL,RF,3o97,3o9,3o9,3o9,D+,"2113 AAB",21,487.80,461,748,10,-11,-11,272,240,31,55,13,0,6,23,31,63,1,1,.230,.317,.371,0.688,11%,0.74,0.49,29%,90,88,46,42%,18%,40%,.224,40%,3.7,-1.7,60
7088,669369,"Johnson, Bryce",29,B,SD,NL,OF,o9,o9,o9,o9,F,"0200 AFF",0,,,,25,-18,-18,34,31,3,6,1,0,0,2,2,10,1,0,.208,.242,.296,0.539,6%,0.66,0.20,29%,32,87,78,44%,20%,36%,.177,20%,1.9,-2.1,
5833,663330,"Jones, Jahmai",27,R,DET,AL,2B,o90,o,4,4,F,"0300 AFF",0,451.38,531,707,,-17,-17,34,31,4,7,1,0,0,3,2,9,1,0,.241,.273,.382,0.655,6%,0.70,0.22,32%,31,95,98,44%,20%,36%,.186,15%,2.5,-1.3,
6355,666134,"Jones, Nolan",26,L,COL,NL,LF,7o0,7o,7o,7o,C+,"4225 CBF",65,250.13,104,329,85,8,8,510,453,60,112,26,1,15,64,56,162,15,3,.249,.330,.418,0.748,11%,0.64,0.35,35%,124,78,74,47%,22%,31%,.233,20%,4.6,8.2,14
8034,682119,"Jordan, Levi",29,R,CIN,NL,2B,4,4,4,4,F,"0100 AFF",0,,,,,-18,-18,34,32,3,7,1,0,0,3,1,9,0,0,.234,.242,.366,0.609,3%,0.71,0.11,30%,30,91,50,44%,20%,36%,.185,20%,2.0,-1.9,
5048,592450,"Judge, Aaron",32,R,NYY,AL,RF,o809,o80,o80,o80,C,"5255 CAF",85,3.21,1,7,64,38,38,612,486,105,146,25,,47,112,125,154,7,0,.302,.444,.647,1.090,20%,0.68,0.81,35%,220,72,67,32%,22%,46%,.289,40%,10.5,87.4,407
7301,666397,"Julien, Edouard",25,L,MIN,AL,2B,4,4,4,4,D,"3203 AAF",24,496.78,322,724,,-10,-10,272,239,33,53,10,0,7,21,32,95,3,0,.224,.314,.370,0.684,11%,0.60,0.34,34%,105,80,70,47%,26%,27%,.216,25%,3.7,-1.7,
7293,667452,"Julks, Corey",29,R,CWS,AL,OF,o970,o97,o97,o97,D,"0300 AAB",0,,,,,-18,-18,34,31,3,6,1,0,0,2,2,9,1,0,.219,.242,.304,0.546,6%,0.71,0.22,27%,31,94,91,39%,21%,39%,.186,25%,1.9,-2.1,
8057,690291,"Jung, Jace",24,L,DET,AL,3B,5,5,5,5,D+,"2003 ACC",15,461.23,279,662,,-11,-11,306,272,32,60,13,,5,34,33,89,0,1,.222,.305,.329,0.634,10%,0.67,0.37,31%,81,76,26,47%,23%,30%,.217,30%,3.2,-8.3,
6567,673962,"Jung, Josh",27,R,TEX,AL,3B,50,5,5,5,C+,"4225 FCC",65,209.64,126,294,162,9,9,476,454,59,117,20,0,22,66,21,145,5,0,.259,.290,.455,0.746,4%,0.68,0.14,33%,129,74,67,40%,22%,38%,.241,25%,4.5,4.6,28
8061,694359,"Kavadas, Niko",26,L,LAA,AL,1B,3,3,3,3,D,"4300 ABB",0,452.25,684,746,,-18,-18,34,29,3,5,1,,1,3,4,14,0,,.206,.273,.352,0.625,12%,0.50,0.29,29%,125,88,88,17%,25%,58%,.172,15%,2.6,-1.7,
8089,680577,"Keirsey, DaShawn",27,L,MIN,AL,CF,o,8,8,8,F,"1301 AFF",5,,,,,-12,-12,170,159,15,36,6,1,3,17,10,52,7,3,.228,.272,.345,0.618,5%,0.67,0.19,32%,78,97,97,44%,20%,36%,.209,25%,2.9,-6.1,
