HQID,MLBAMID,Player,Age,Bats,Team,Lg,Pos,LY5,LY10,LY15,LY20,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,12$,15$,PA,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,BB%,ct%,Eye,h%,PX,SPD,RSpd,G%,L%,F%,xBA,BA,RC/G,RAR,BPX
8033,672642,"Berroa, Steward",25,B,TOR,AL,OF,o97,o9,o,o,F,"0400 AFF",0,452.18,667,736,,-17,-17,34,31,4,6,0,0,0,3,2,10,2,1,.220,.242,.331,0.573,6%,0.67,0.20,29%,,100,111,44%,20%,36%,.162,15%,1.5,-2.6,
6026,542932,"Berti, Jon",35,R,CHI,NL,3B,5,5,5,5,F,"1321 FFF",7,482.25,409,749,182,-12,-12,136,122,18,32,5,0,1,10,13,30,5,1,.267,.333,.368,0.702,9%,0.75,0.43,34%,50,101,92,41%,27%,32%,.233,35%,3.9,-1.0,
4260,542194,"Bethancourt, Christian",33,R,TOR,AL,C,2,2,2,2,D,"1300 ABB",0,451.50,644,707,11,-16,-16,68,64,8,15,2,,1,7,3,16,0,,.238,.269,.366,0.635,4%,0.74,0.19,30%,53,94,94,48%,16%,36%,.201,25%,2.8,-1.5,
4673,605141,"Betts, Mookie",32,R,LA,NL,SS,69o4,69o4,69o4,69o,C,"4355 CAF",85,11.22,3,24,72,32,32,646,572,106,163,33,4,28,96,73,89,18,3,.285,.366,.509,0.875,11%,0.84,0.82,30%,121,98,97,29%,23%,49%,.278,55%,6.7,39.5,317
6005,666182,"Bichette, Bo",27,R,TOR,AL,SS,6,6,6,6,B,"2255 DAD",70,128.72,38,211,180,13,13,544,513,67,143,29,1,15,69,30,106,7,3,.279,.319,.434,0.752,5%,0.79,0.28,33%,94,79,61,50%,23%,27%,.274,35%,4.8,8.1,103
6067,624415,"Biggio, Cavan",29,L,KC,AL,2B,4539o,4539o,453,4,F,"1100 AFF",0,451.34,406,703,22,-17,-17,68,59,9,12,2,0,1,6,8,19,0,0,.217,.298,.336,0.635,11%,0.66,0.42,28%,64,87,58,37%,21%,42%,.191,30%,2.8,-2.1,
7857,672012,"Black, Tyler",24,L,MIL,NL,1B,03,3,3,3,D,"1401 ABC",6,488.18,383,744,,-8,-8,238,210,28,47,7,2,3,24,27,57,12,3,.227,.312,.335,0.647,11%,0.73,0.47,29%,63,103,107,41%,20%,38%,.210,35%,3.4,-6.4,
6202,680118,"Blanco, Dairon",31,R,KC,AL,OF,o7980,o798,o79,o79,D+,"1501 ADB",7,501.08,256,746,,-6,-6,170,160,26,38,5,0,3,12,9,47,22,5,.243,.278,.364,0.642,5%,0.70,0.19,32%,62,109,166,47%,15%,38%,.200,20%,3.2,-4.2,
6399,668709,"Bleday, JJ",27,L,ATH,AL,CF,8o,8o,8o,8o,B+,"3125 BAC",55,267.50,172,350,43,6,6,612,542,75,129,32,3,19,62,69,139,5,3,.239,.324,.419,0.743,11%,0.74,0.50,29%,115,80,55,36%,17%,47%,.235,40%,4.4,4.3,135
7866,669208,"Bliss, Ryan",25,R,SEA,AL,2B,4,4,4,4,D,"2513 ABC",33,495.64,406,743,,-2,-2,374,348,42,77,18,3,6,33,25,106,25,13,.224,.274,.346,0.620,6%,0.69,0.24,30%,89,107,124,40%,26%,34%,.231,30%,2.8,-11.9,
8127,801670,"Boeve, Mike",22,L,MIL,NL,3B,5,5,5,5,F,"1300 AFF",0,,,,,-16,-16,68,61,7,17,2,0,1,6,6,13,0,,.295,.343,.427,0.771,8%,0.78,0.46,34%,53,88,88,44%,20%,36%,.219,30%,4.4,0.3,10
4426,593428,"Bogaerts, Xander",32,R,SD,NL,SS,460,46,46,4,B,"2335 CAC",65,147.83,73,235,53,17,17,646,597,79,163,27,1,17,66,48,114,16,3,.275,.327,.411,0.738,7%,0.81,0.42,31%,81,93,88,48%,18%,34%,.253,40%,4.7,9.0,117
6295,664761,"Bohm, Alec",28,R,PHI,NL,3B,53,53,5,5,B,"2155 BAA",65,169.78,90,236,28,17,17,646,601,72,166,37,2,16,93,44,105,4,2,.276,.326,.428,0.753,6%,0.82,0.42,31%,92,78,55,47%,22%,31%,.275,45%,4.8,11.4,150
7048,656248,"Bouchard, Sean",28,R,COL,NL,OF,o97,o97,o9,o,D,"2301 FDB",6,464.16,549,750,172,-12,-12,204,186,25,40,9,1,4,20,17,60,4,2,.219,.281,.355,0.636,8%,0.68,0.28,30%,92,109,88,45%,20%,35%,.219,30%,3.0,-5.8,
5285,608324,"Bregman, Alex",30,R,BOS,AL,2B,5,5,5,5,A,"3145 BAA",65,126.49,37,183,,17,17,612,549,87,146,30,1,23,84,62,76,1,0,.267,.340,.455,0.795,10%,0.86,0.82,27%,102,83,56,35%,19%,45%,.266,60%,5.3,22.5,260
7161,686823,"Brennan, Will",27,L,CLE,AL,RF,o9708,o970,o97,o9,C+,"1243 AAA",30,504.99,280,750,17,-2,-2,374,355,37,94,17,1,6,34,18,57,8,2,.266,.300,.378,0.679,4%,0.84,0.32,30%,65,80,71,44%,24%,32%,.263,40%,3.9,-0.9,82
7040,681146,"Bride, Jonah",29,R,MIA,NL,DH,305,305,30,3,D+,"1113 AAC",18,433.58,220,580,28,-7,-7,408,362,43,83,15,1,6,44,45,89,1,1,.231,.315,.333,0.648,11%,0.75,0.51,29%,66,88,45,47%,20%,33%,.227,45%,3.4,-13.6,17
7269,682877,"Brito, Juan",23,B,CLE,AL,2B,4,4,4,4,F,"2131 AFF",7,493.54,169,750,,-14,-14,204,183,20,38,11,,4,19,20,40,3,2,.209,.286,.345,0.630,9%,0.78,0.50,24%,86,75,54,44%,20%,36%,.246,55%,3.0,-5.3,92
6245,664913,"Brown, Seth",32,L,ATH,AL,LF,o739,o739,o739,o739,C,"3113 BAA",24,450.14,301,596,44,-6,-6,306,284,29,66,11,0,12,40,21,83,3,0,.235,.285,.416,0.701,6%,0.71,0.25,29%,108,63,56,38%,18%,44%,.224,30%,3.8,-1.8,14
6588,660644,"Brujan, Vidal",27,B,CHI,NL,2B,46o589,46o58,46o,46o,D,"0101 ABA",2,494.52,402,750,15,-17,-17,136,123,14,25,6,0,0,8,12,29,2,3,.208,.274,.290,0.564,8%,0.76,0.41,27%,43,81,45,50%,15%,35%,.201,45%,2.0,-7.4,
4522,592178,"Bryant, Kris",33,R,COL,NL,1B,09o3,09o,3,3,D+,"2013 FDC",18,489.77,276,750,327,-5,-5,408,377,40,91,18,,10,37,30,111,,,.242,.297,.375,0.673,7%,0.70,0.27,32%,91,74,,39%,23%,38%,.227,30%,3.7,-7.7,
6695,669394,"Burger, Jake",28,R,TEX,AL,1B,350,350,350,350,B,"4035 BAC",60,112.04,61,175,61,13,13,578,544,71,132,23,1,36,81,33,168,0,0,.243,.286,.496,0.782,5%,0.69,0.20,28%,157,78,39,43%,17%,40%,.250,30%,4.7,5.2,139
6908,676475,"Burleson, Alec",26,L,STL,NL,LF,o0973,o0973,o097,o097,B,"1143 AAA",27,223.26,113,312,13,2,2,442,415,47,105,18,,13,53,26,64,4,1,.254,.297,.395,0.692,5%,0.85,0.41,27%,79,64,49,42%,21%,37%,.262,50%,4.0,-0.8,125
6770,683737,"Busch, Michael",27,L,CHI,NL,1B,3,3,3,3,B+,"4215 AAB",60,245.95,100,336,,3,3,510,460,64,109,25,1,18,60,49,149,2,0,.238,.310,.419,0.729,9%,0.68,0.33,31%,126,79,60,43%,18%,39%,.231,30%,4.3,-0.8,57
7405,671732,"Butler, Lawrence",24,L,ATH,AL,RF,9o,9o,9o,9o,B+,"3335 ABD",70,67.23,35,154,,15,15,612,571,76,142,28,2,25,67,40,139,20,2,.249,.298,.438,0.736,6%,0.76,0.29,29%,116,83,90,42%,17%,41%,.249,40%,4.5,9.7,125
