Pick,Team,Player,Elapsed Time,Total Fpts,Active Fpts
287,Bad News Bears,Leody Taveras OF | TEX,22 sec,66,2
288,The Big Loggers,*Jason Heyward OF | SD,1 min 32 sec,178,0
289,The Big Loggers,*Justin Upton DH | ,1 min 30 sec (17 min 52 sec),208.5,16
290,Bad News Bears,David Peralta OF | SD,41 sec (14 min 17 sec),313,171
291,Ea$y Money,Chris Sale P | ATL ,12 sec (13 min 51 sec),106.3,89.3
292,Preetenders,Dylan Cease P | SD ,1 min 31 sec (13 min 15 sec),389.3,289.7
293,Seavy,Jordan Montgomery P | ARI ,22 sec (11 min 30 sec),231.7,232.7
294,Thommy Boy,Alex Kirilloff OF | MIN,12 sec (12 min 19 sec),135,129
295,The New Mets,Anthony Bass P | TOR,27 sec (13 min 33 sec),41.7,-0.7
296,Cleveland Rocks!,Jose Quintana P | MIL ,5 sec (5 min 14 sec),41,0
297,Donut King,Martin Maldonado C | SD,9 sec (9 min 27 sec),175.5,-1.5
298,Draft Killers,Justin Verlander P | SF,1 min 30 sec (17 min 17 sec),0,0
299,Maxinators,Gregory Polanco RF | ,5 sec (12 min 41 sec),198,26
300,Chaos Theory,Noah Syndergaard P | CLE,5 sec (9 min 42 sec),-4,0
