Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts
190,Ea$y Money,Dylan Carlson OF | BAL,,1 min 31 sec,269,133
191,Thommy Boy,Joe Ryan P | MIN ,,56 sec,305,305
192,Maxinators,Anthony Santander OF | TOR ,,7 sec,419,419
193,Maxinators,Nick Pivetta P | SD ,,32 sec,240.3,19.7
194,Thommy Boy,A.J. Pollock LF | ,,17 sec,284,15.5
195,Ea$y Money,Michael Brantley LF | ,,17 sec,180,180
196,Cleveland Rocks!,Jesse Winker OF | NYM (Keeper),,0 sec,297.5,273.5
197,Bad News Bears,Carson Kelly C | CHC,,38 sec,172.5,17
198,The New Mets,Alex Kirilloff OF | MIN,,31 sec,73,-1.5
199,Seavy,Julio Urias P | LAD (Keeper),,0 sec,436,435
200,The Big Loggers,"Mark Canha 1B,OF | MIL",,1 min 8 sec,355.5,257
201,Adios Pelota ,Alex Cobb P | DET ,,0 sec,220.3,217.3
202,Chaos Theory,Jo Adell OF | LAA ,,33 sec,118.5,37
203,Preetenders,Oscar Gonzalez OF | SD,,35 sec,223.5,111
204,Donut King,*Lorenzo Cain CF | ,,1 sec,50,17.5
205,Donut King,*Michael Conforto OF | LAD ,,0 sec,0,0
206,Preetenders,Colin Moran 1B | ,,1 min 22 sec,80,66
207,Chaos Theory,"Enrique Hernandez 3B,OF | LAD",,7 sec,203.5,36
208,Adios Pelota ,Trey Mancini 1B | ARI,,0 sec,313.5,313.5
209,The Big Loggers,Yadier Molina C | ,,1 min 23 sec,103,10.5
210,Seavy,Keibert Ruiz C | WAS ,,24 sec,224,224
211,The New Mets,Brandon Belt DH | TOR,,22 sec,132.5,110.5
212,Bad News Bears,Jack Flaherty P | DET ,,56 sec,40,0
213,Cleveland Rocks!,Logan Gilbert P | SEA ,,11 sec,354.3,289
214,Ea$y Money,Mitch Haniger OF | SEA (Keeper),,0 sec,142.5,121
