Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts
71,Cleveland Rocks!,Juan Soto OF | NYM  (Keeper),,0 sec,579.5,579.5
72,The Big Loggers,Giancarlo Stanton DH | NYY ,,1 min 24 sec,229,220
73,The Big Loggers,"Jeff McNeil 2B,OF | NYM",,9 sec,390.5,390.5
74,Cleveland Rocks!,Clay Holmes P | NYM ,,9 sec,300,38.3
75,Chaos Theory,Hunter Greene P | CIN ,,1 min 8 sec,154,170
76,Team Gersch,Felix Bautista P | BAL,,30 sec,474,474
77,The Underachievers,Gunnar Henderson SS | BAL ,,21 sec,450.5,391
78,Ea$y Money,"Whit Merrifield 2B,OF | ATL",,11 sec,357.5,311.5
79,Donut King,Tyler O'Neill OF | BAL ,,11 sec,143.5,30
80,The New Mets,Marcus Semien 2B | TEX  (Keeper),,0 sec,592,592
81,Maxinators,Kenley Jansen P | LAA,,22 sec,280.3,283.3
82,Bad News Bears,*Joc Pederson DH | TEX,,0 sec,266.5,83.5
83,Adios Pelota ,*Christian Yelich OF | MIL ,,0 sec,477,481
84,Thommy Boy,Nick Lodolo P | CIN,,24 sec,39.7,39.7
85,Thommy Boy,Javier Baez SS | DET,,1 min 30 sec,273.5,20
86,Adios Pelota ,*Mitch Haniger OF | SEA,,0 sec,111.5,1
87,Bad News Bears,*Raisel Iglesias P | ATL ,,0 sec,374.3,357.3
88,Maxinators,Gleyber Torres 2B | DET ,,11 sec,450,450
89,The New Mets,Sean Murphy C | ATL ,,27 sec,310,310
90,Donut King,Joe Musgrove P | SD ,,13 sec,223.7,224.7
91,Ea$y Money,Bryce Harper 1B | PHI,,49 sec,418.5,400
92,The Underachievers,Bryan Reynolds OF | PIT (Keeper),,0 sec,434,434.5
93,Team Gersch,Alejandro Kirk C | TOR ,,40 sec,214.5,96.5
94,Chaos Theory,Bo Bichette SS | TOR  (Keeper),,0 sec,377.5,370.5
95,Cleveland Rocks!,Jordan Walker OF | STL ,,5 sec,281,229
96,The Big Loggers,Dustin May P | LAD ,,1 min 6 sec,104,104
97,The Big Loggers,Lucas Giolito P | BOS ,,49 sec,226.7,223.7
98,Cleveland Rocks!,Hunter Renfroe OF | KC,,5 sec,296.5,232
99,Chaos Theory,Yordan Alvarez OF | HOU (Keeper),,0 sec,458,456
100,Team Gersch,Anthony Volpe SS | NYY,,23 sec,343.5,343.5
101,The Underachievers,Masataka Yoshida DH | BOS ,,11 sec,394.5,394.5
102,Ea$y Money,Ty France 1B | MIN ,,17 sec,347.5,220
103,Donut King,Jonathan India 2B | KC (Keeper),,0 sec,358.5,306.5
104,The New Mets,Matt Chapman 3B | SF ,,1 min 10 sec,333.5,333.5
105,Maxinators,Eddie Rosario OF | LAD ,,10 sec,324,3.5
106,Bad News Bears,*Spencer Turnbull P | PHI,,0 sec,-4,-22
107,Adios Pelota ,Aaron Judge OF | NYY (Keeper),,0 sec,418,405.5
108,Thommy Boy,Charlie Morton P | BAL ,,1 min 32 sec,278.7,278.7
109,Thommy Boy,Andrew Heaney P | PIT,,1 min 32 sec,230.7,225
110,Adios Pelota ,*Paul Sewald P | CLE,,0 sec,381.3,381.3
111,Bad News Bears,*Brusdar Graterol P | LAD ,,1 sec,188.7,5.3
112,Maxinators,Chris Bassitt P | TOR ,,9 sec,404,405
113,The New Mets,Kolten Wong 2B | BAL,,1 min 4 sec,110.5,21.5
114,Donut King,Nate Lowe 1B | WAS,,18 sec,424.5,424.5
115,Ea$y Money,Jose Altuve 2B | HOU,,18 sec,373.5,353.5
116,The Underachievers,Brandon Lowe 2B | TB ,,10 sec,303.5,242
117,Team Gersch,"Luis Arraez 1B,2B | SD",,22 sec,437,437
118,Chaos Theory,Freddy Peralta P | MIL,,22 sec,349.3,349.3
119,Cleveland Rocks!,Alex Verdugo OF | NYY ,,37 sec,365.5,358
120,The Big Loggers,Josh Bell 1B | WAS,,1 min 12 sec,337.5,339
121,The Big Loggers,Luis Castillo P | SEA (Keeper),,0 sec,414,414
122,Cleveland Rocks!,Wander Franco SS | TB  (Keeper),,0 sec,375.5,375.5
123,Chaos Theory,Kyle Wright P | KC ,,10 sec,6,0.7
124,Team Gersch,Ketel Marte 2B | ARI ,,57 sec,471.5,471.5
125,The Underachievers,David Bednar P | PIT,,9 sec,437.7,437.7
126,Ea$y Money,Pete Alonso 1B | NYM (Keeper),,0 sec,503,506
127,Donut King,George Kirby P | SEA ,,18 sec,368.3,368.3
128,The New Mets,Mike Yastrzemski OF | SF ,,9 sec,239.5,233
129,Maxinators,Ryan McMahon 3B | COL ,,18 sec,345,60
130,Bad News Bears,Kyle Schwarber DH | PHI (Keeper),,0 sec,523.5,523.5
131,Adios Pelota ,*Craig Kimbrel P | BAL,,0 sec,345,346
132,Thommy Boy,Travis d'Arnaud C | LAA,,1 min 30 sec,160.5,104.5
133,Thommy Boy,Cedric Mullins OF | BAL  (Keeper),,1 min 30 sec,351.5,351.5
134,Adios Pelota ,*Nathan Eovaldi P | TEX ,,0 sec,322,-0.3
135,Bad News Bears,"DJ LeMahieu 1B,3B | NYY ",,21 sec,281.5,109.5
136,Maxinators,Robbie Ray P | SF (Keeper),,0 sec,-7.3,-7.3
137,The New Mets,"Shohei Ohtani P,U | LAD  (Keeper)",,0 sec,577.5,447.2
138,Donut King,Steven Kwan OF | CLE (Keeper),,0 sec,448.5,448.5
139,Ea$y Money,Bobby Witt SS | KC  (Keeper),,0 sec,581.5,566
140,The Underachievers,Luis Urias 3B | ATH,,1 min 7 sec,101.5,0
141,Team Gersch,Kodai Senga P | NYM ,,5 sec,356.7,356.7
142,Chaos Theory,Logan Gilbert P | SEA ,,25 sec,404.3,404.3
143,Cleveland Rocks!,Adley Rutschman C | BAL (Keeper),,0 sec,449.5,449.5
144,The Big Loggers,Carlos Rodon P | NYY  (Keeper),,0 sec,36.7,36.7
145,The Big Loggers,Luis Garcia P | HOU ,,33 sec,47,47
146,Cleveland Rocks!,Jeffrey Springs P | ATH,,3 sec,67,67
147,Chaos Theory,C.J. Cron 1B | BOS,,1 min 1 sec,167.5,81.5
148,Team Gersch,MJ Melendez OF | KC,,34 sec,317,317
149,The Underachievers,Tyler Stephenson C | CIN,,1 min 15 sec,257.5,258.5
150,Ea$y Money,Lance Lynn P | STL,,31 sec,251.3,251.3
151,Donut King,Taylor Ward OF | LAA  (Keeper),,0 sec,261,96
152,The New Mets,Andrew Vaughn 1B | CHW,,20 sec,357.5,357.5
153,Maxinators,Anthony Santander OF | TOR  (Keeper),,0 sec,454,454
154,Bad News Bears,Yasmani Grandal C | PIT,,33 sec,175,163
155,Adios Pelota ,*Michael Wacha P | KC,,0 sec,305.7,70
