Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts
85,The Underachievers,Joe Musgrove P | SD ,,1 min 9 sec,165.3333333,159.6666667
86,Adios Pelota ,*Craig Kimbrel P | BAL,,0 sec,275.6666667,275.6666667
87,Maxinators,Teoscar Hernandez OF | LAD,,51 sec,475,475
88,Donut King,George Kirby P | SEA  (Keeper),,0 sec,360,363
89,Chaos Theory,Tanner Bibee P | CLE ,,22 sec,345.3333333,322.3333333
90,Thommy Boy,Bryson Stott 2B | PHI,,45 sec,363.5,363.5
91,Team Gersch,*Paul Sewald P | CLE,,0 sec,167.3333333,152.3333333
92,Bad News Bears,Kyle Schwarber DH | PHI (Keeper),,0 sec,513.5,513.5
93,The New Mets,Alexis Diaz P | CIN ,,44 sec,266.6666667,266.6666667
94,The Big Loggers,Luis Castillo P | SEA (Keeper),,0 sec,294.6666667,294.6666667
95,Cleveland Rocks!,Wyatt Langford OF | TEX ,,8 sec,417.5,417.5
96,Ea$y Money,Pete Alonso 1B | NYM (Keeper),,0 sec,447,444
97,Ea$y Money,Bobby Witt SS | KC  (Keeper),,0 sec,682,682
98,Cleveland Rocks!,Adley Rutschman C | BAL (Keeper),,0 sec,387.5,387.5
99,The Big Loggers,Carlos Rodon P | NYY  (Keeper),,0 sec,359,359
100,The New Mets,"Shohei Ohtani P,U | LAD  (Keeper)",,0 sec,796,796
101,Bad News Bears,Marcus Stroman P | NYY ,,1 min 19 sec,176.3333333,-14.33333333
102,Team Gersch,*Starling Marte OF | NYM ,,1 sec,228.5,224.5
103,Thommy Boy,Vinnie Pasquantino 1B | KC,,1 min 17 sec,380.5,380.5
104,Chaos Theory,Hunter Brown P | HOU ,,5 sec,297,237.6666667
105,Donut King,Steven Kwan OF | CLE (Keeper),,0 sec,377.5,370.5
106,Maxinators,Shane Bieber P | CLE ,,46 sec,53,53
